MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230613,High Plains,46.65,53.35,31.39,20.85,10.14,3.88,2023-06-13,2023-06-19,1
20230613,Midwest,10.72,89.28,48.72,7.96,1.21,0.00,2023-06-13,2023-06-19,1
20230613,Northeast,27.85,72.15,32.00,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230613,South,46.12,53.88,20.15,6.85,1.47,0.34,2023-06-13,2023-06-19,1
20230613,Southeast,72.10,27.90,4.47,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230613,West,73.89,26.11,10.22,1.60,0.00,0.00,2023-06-13,2023-06-19,1
20230606,High Plains,42.54,57.46,32.82,21.16,10.56,4.34,2023-06-06,2023-06-12,1
20230606,Midwest,15.29,84.71,32.06,4.81,1.16,0.00,2023-06-06,2023-06-12,1
20230606,Northeast,32.32,67.68,20.27,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230606,South,48.29,51.71,22.06,10.03,2.10,0.34,2023-06-06,2023-06-12,1
20230606,Southeast,83.00,17.00,2.80,0.33,0.00,0.00,2023-06-06,2023-06-12,1
20230606,West,69.58,30.42,10.64,1.82,0.00,0.00,2023-06-06,2023-06-12,1
20230530,High Plains,40.28,59.72,35.65,21.70,12.34,6.81,2023-05-30,2023-06-05,1
20230530,Midwest,33.85,66.15,14.99,3.78,1.02,0.00,2023-05-30,2023-06-05,1
20230530,Northeast,50.39,49.61,2.35,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230530,South,51.79,48.21,24.18,13.91,5.71,0.51,2023-05-30,2023-06-05,1
20230530,Southeast,88.70,11.30,3.19,1.56,0.00,0.00,2023-05-30,2023-06-05,1
20230530,West,68.22,31.78,11.37,2.39,0.06,0.00,2023-05-30,2023-06-05,1
20230523,High Plains,40.98,59.02,34.63,23.43,12.65,6.80,2023-05-23,2023-05-29,1
20230523,Midwest,73.04,26.96,8.79,2.08,0.17,0.00,2023-05-23,2023-05-29,1
20230523,Northeast,86.86,13.14,0.40,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230523,South,58.20,41.80,28.62,16.60,7.27,1.02,2023-05-23,2023-05-29,1
20230523,Southeast,82.97,17.03,5.16,2.95,1.65,0.00,2023-05-23,2023-05-29,1
20230523,West,67.68,32.32,12.26,2.74,0.25,0.00,2023-05-23,2023-05-29,1
20230516,High Plains,39.59,60.41,35.25,23.48,12.38,6.54,2023-05-16,2023-05-22,1
20230516,Midwest,77.82,22.18,7.60,1.94,0.17,0.00,2023-05-16,2023-05-22,1
20230516,Northeast,82.49,17.51,0.50,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230516,South,58.24,41.76,32.22,19.85,10.01,1.98,2023-05-16,2023-05-22,1
20230516,Southeast,75.92,24.08,9.12,2.77,1.73,0.00,2023-05-16,2023-05-22,1
20230516,West,66.31,33.69,12.85,2.89,0.54,0.03,2023-05-16,2023-05-22,1
20230509,High Plains,28.95,71.05,47.30,28.62,18.19,7.65,2023-05-09,2023-05-15,1
20230509,Midwest,70.28,29.72,9.33,3.85,0.44,0.02,2023-05-09,2023-05-15,1
20230509,Northeast,87.37,12.63,0.51,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230509,South,53.91,46.09,34.04,25.14,13.21,2.71,2023-05-09,2023-05-15,1
20230509,Southeast,74.59,25.41,9.51,2.74,1.25,0.00,2023-05-09,2023-05-15,1
20230509,West,64.19,35.81,15.14,3.63,0.66,0.03,2023-05-09,2023-05-15,1
20230502,High Plains,27.59,72.41,47.90,28.30,17.87,7.44,2023-05-02,2023-05-08,1
20230502,Midwest,71.09,28.91,7.72,2.58,0.16,0.06,2023-05-02,2023-05-08,1
20230502,Northeast,84.22,15.78,0.64,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230502,South,53.77,46.23,34.98,25.57,14.89,3.05,2023-05-02,2023-05-08,1
20230502,Southeast,75.70,24.30,9.94,2.74,1.03,0.00,2023-05-02,2023-05-08,1
20230502,West,64.17,35.83,16.84,4.12,0.80,0.03,2023-05-02,2023-05-08,1
20230425,High Plains,28.21,71.79,50.53,28.40,17.82,8.52,2023-04-25,2023-05-01,1
20230425,Midwest,81.89,18.11,5.15,1.19,0.14,0.06,2023-04-25,2023-05-01,1
20230425,Northeast,72.19,27.81,6.15,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230425,South,51.65,48.35,36.03,25.94,14.12,4.51,2023-04-25,2023-05-01,1
20230425,Southeast,65.21,34.79,18.86,8.75,1.15,0.00,2023-04-25,2023-05-01,1
20230425,West,64.49,35.51,17.17,4.17,0.94,0.04,2023-04-25,2023-05-01,1
20230418,High Plains,27.64,72.36,49.64,27.95,14.74,8.13,2023-04-18,2023-04-24,1
20230418,Midwest,83.54,16.46,5.18,1.78,0.17,0.06,2023-04-18,2023-04-24,1
20230418,Northeast,74.97,25.03,6.49,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230418,South,49.70,50.30,37.47,26.33,14.65,4.84,2023-04-18,2023-04-24,1
20230418,Southeast,65.78,34.22,18.92,8.89,0.91,0.00,2023-04-18,2023-04-24,1
20230418,West,63.46,36.54,17.52,4.71,0.96,0.04,2023-04-18,2023-04-24,1
20230411,High Plains,25.25,74.75,50.42,28.31,14.66,7.88,2023-04-11,2023-04-17,1
20230411,Midwest,83.22,16.78,5.44,1.78,0.17,0.06,2023-04-11,2023-04-17,1
20230411,Northeast,82.24,17.76,2.35,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230411,South,49.95,50.05,37.71,25.48,13.40,4.26,2023-04-11,2023-04-17,1
20230411,Southeast,63.21,36.79,16.42,10.37,0.19,0.00,2023-04-11,2023-04-17,1
20230411,West,62.81,37.19,18.10,4.91,0.96,0.04,2023-04-11,2023-04-17,1
20230404,High Plains,22.45,77.55,50.07,27.38,14.11,6.93,2023-04-04,2023-04-10,1
20230404,Midwest,82.92,17.08,5.46,1.78,0.17,0.06,2023-04-04,2023-04-10,1
20230404,Northeast,89.24,10.76,1.68,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230404,South,48.06,51.94,41.88,29.32,14.64,4.15,2023-04-04,2023-04-10,1
