AreaOfInterest,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,AreaMiles,MapDate
CONUS,14.13,"424,906.35","40,004,177.97",13.09,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-06-13
CONUS,7.29,"219,392.18","23,399,935.15",7.66,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-06-13
CONUS,1.54,"46,229.40","4,150,612.13",1.36,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-06-13
CONUS,42.56,"1,279,946.18","84,984,328.70",27.80,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-06-20
CONUS,22.73,"683,731.04","58,007,249.31",18.98,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-06-20
CONUS,14.08,"423,495.44","40,322,375.27",13.19,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-06-20
CONUS,6.69,"201,082.93","22,111,622.18",7.23,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-06-20
CONUS,1.64,"49,403.60","4,889,485.93",1.60,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-06-20
CONUS,44.84,"1,348,587.01","91,446,563.44",29.92,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-06-27
CONUS,23.72,"713,345.88","61,073,557.88",19.98,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-06-27
CONUS,12.48,"375,212.25","39,335,995.12",12.87,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-06-27
CONUS,4.48,"134,804.76","24,780,330.51",8.11,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-06-27
CONUS,1.66,"49,970.98","4,962,447.23",1.62,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-06-27
CONUS,42.50,"1,278,296.10","78,727,961.40",25.76,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-07-04
CONUS,17.76,"534,142.39","50,678,575.53",16.58,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-07-04
