RegionalClimateCenterId,PercentCurrent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
1,2.21,"11,276.82",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-11-14
1,46.48,"236,752.15",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-11-21
1,5.78,"29,450.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-11-21
1,1.94,"9,893.17",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-11-21
1,46.66,"237,684.66",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-11-28
1,5.78,"29,450.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-11-28
1,1.94,"9,893.17",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-11-28
1,42.89,"218,480.78",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-12-05
1,5.87,"29,878.15",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-12-05
1,1.56,"7,943.85",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-12-05
1,40.79,"207,794.19",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-12-12
1,5.87,"29,878.15",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-12-12
1,1.76,"8,964.00",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-12-12
1,37.19,"189,452.33",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-12-19
1,5.30,"26,972.11",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-12-19
1,2.18,"11,084.62",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-12-19
1,32.69,"166,525.10",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-12-26
1,4.59,"23,398.24",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-12-26
1,2.56,"13,059.24",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-12-26
1,32.69,"166,525.10",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-01-02
1,4.64,"23,621.12",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-01-02
1,2.56,"13,059.24",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-01-02
1,26.93,"137,162.90",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-01-09
1,4.64,"23,617.39",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-01-09
1,2.56,"13,059.24",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-01-09
1,26.93,"137,162.90",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-01-16
